sample_id,relative_path,split,label,subject_id,session_id,clip_id,device_id,attack_type,attack_instrument_id,capture_time,sha256,dhash,height,width,bytes,brightness,contrast,blur,exact_component_id,near_component_id,status,reason_code
38daaf9c106adcb36515,test/images/17743421927071402.jpg,test,1,,,,,,,,ccaddb0084c793fa704de1775c68d0b5c09f89e65b70b270fadcc09231dc57de,c70f232321150f87,274,243,20961,130.320372,51.303442,172.075701,exact-f0672dd8e5e2,near-f3f43b0f4d14,quarantine,"MISSING_PROVENANCE:subject_id,session_id,clip_id,device_id"
3552940ab5fdbf721d0a,test/images/1774342192737091.jpg,test,1,,,,,,,,ccaddb0084c793fa704de1775c68d0b5c09f89e65b70b270fadcc09231dc57de,c70f232321150f87,274,243,20961,130.320372,51.303442,172.075701,exact-f0672dd8e5e2,near-f3f43b0f4d14,quarantine,"MISSING_PROVENANCE:subject_id,session_id,clip_id,device_id"
636b9f3d95854f254184,test/images/17743421932852015.jpg,test,1,,,,,,,,f5065fa2fe70c0b5ae54a9535a9f6031dbe043f15130b767461c3913e6159b19,460333211107078f,264,235,17100,107.322840,49.531376,140.125465,exact-29f6d328aa7c,near-f3f43b0f4d14,quarantine,"MISSING_PROVENANCE:subject_id,session_id,clip_id,device_id"
417b2f7757c263efe1ce,test/images/17743421934755735.jpg,test,1,,,,,,,,f68a37358191140573b927227e44415eb829cba1e11ca34e823b270b16977df9,8d032321110f070e,263,234,17328,100.450213,49.015259,141.711215,exact-b8e453642038,near-f3f43b0f4d14,quarantine,"MISSING_PROVENANCE:subject_id,session_id,clip_id,device_id"
a5b46261dfe4aa504bc7,test/images/1774342193494458.jpg,test,1,,,,,,,,f68a37358191140573b927227e44415eb829cba1e11ca34e823b270b16977df9,8d032321110f070e,263,234,17328,100.450213,49.015259,141.711215,exact-b8e453642038,near-f3f43b0f4d14,quarantine,"MISSING_PROVENANCE:subject_id,session_id,clip_id,device_id"
bd9ba8752c0fc589f524,test/images/1774342194039316.jpg,test,1,,,,,,,,ee09e91042f3956728e550c06af5ddc1ab64b02481d262d35308d386522b2e78,8f13333109070707,240,213,14831,101.961013,44.304203,146.708031,exact-955e218f59b1,near-273a90dbebc5,quarantine,"MISSING_PROVENANCE:subject_id,session_id,clip_id,device_id"
d508db62544bdca29ebb,test/images/17743421942398765.jpg,test,1,,,,,,,,57a18f459de9e842034949c8a0b16cc98f8b06978f94c2fbbb891b0448fbc7eb,0f3333130b070786,253,225,15809,96.200474,44.586065,122.412229,exact-82c77a55f1af,near-273a90dbebc5,quarantine,"MISSING_PROVENANCE:subject_id,session_id,clip_id,device_id"
13c20b06abfe0099ed7a,test/images/17743421944324815.jpg,test,1,,,,,,,,a484dc1b67ad8a75afe972f023b14a9c7d2a1977185edb72cefd46e30021e724,8b93b39389c78787,255,226,16498,97.618601,41.623232,109.866880,exact-46c3d10b9e53,near-46c3d10b9e53,quarantine,"MISSING_PROVENANCE:subject_id,session_id,clip_id,device_id"
50877fdd8180d684be65,test/images/17743421950526762.jpg,test,1,,,,,,,,35c139f6a977f4940f39e3bc86b156d21153add1397e23c4323e76354f9f3fe6,8d2723a78b87878e,247,219,15913,85.536299,41.566410,141.432954,exact-7a6e3b08cb3d,near-a689747f373d,quarantine,"MISSING_PROVENANCE:subject_id,session_id,clip_id,device_id"
eb530efc0ec1e14d6950,test/images/17743421951100526.jpg,test,1,,,,,,,,d9de6c69ab2cd2fc0fbff42369f80042ed4997b57c93045f24cebdac661ac36b,8d03a3a78d8797ce,243,216,15564,85.602709,41.198240,145.236969,exact-eb8d1dcb9642,near-18d1746ff716,quarantine,"MISSING_PROVENANCE:subject_id,session_id,clip_id,device_id"
